en,cn,audio_url,meta,id
The diagram shows a cross section of the building's foundation.,该图显示了建筑物基础的横截面。,,,ebcc7eb4-d877-4fa1-80d0-a9953bc36ad8
A cross section of the tree reveals its age rings.,树的横截面显示了它的年轮。,,,ec0e7e15-bc57-4396-89f4-bf26b2d73205
"For the time being, we'll stay in this hotel.",目前，我们将住在这家酒店。,,,3853a406-8b39-41f5-8f77-27786817f25a
The project is on hold for the time being.,这个项目暂时搁置了。,,,7a0f2bcd-23ab-434e-842c-75a7bd8e0fcf
The final exam will cover all chapters of the textbook.,期末考试将涵盖教科书的所有章节。,,,d189b646-10c7-42b0-ad06-06a60c38c587
He studied hard for the final exam and got an A.,他为期末考试努力学习，得了A。,,,c9ca4ba0-77b3-49ad-a5f9-bff9a0da0891
She was fascinated by the ancient artifacts in the museum.,她被博物馆里的古代文物迷住了。,,,48bca765-680a-4c00-80fe-c770e00ed5cc
He is fascinated by the mysteries of the universe.,他对宇宙的奥秘着迷。,,,c6be9ae7-b3eb-460b-93fc-570eb0759034
She took the responsibility on herself to organize the event.,她主动承担了组织活动的责任。,,,6f11eccb-b35f-42c4-8afc-87a0720e81f9
He took the task on himself without being asked.,他未经要求就主动承担了这项任务。,,,62041164-35f5-472e-a631-d2fa23f0e7de
We met by coincidence at the airport.,我们在机场偶然相遇。,,,fc7b7461-1b49-49d1-a343-3896bfe0e342
"By coincidence, they both chose the same restaurant.",碰巧的是，他们都选择了同一家餐厅。,,,b344846e-866f-4835-a021-406212d7dcdc
Many students do part-time work to support their studies.,许多学生做兼职工作来支持学业。,,,fda35fc2-cdf1-4026-8078-7b99a13945ad
She decided to do part-time work while raising her children.,她决定在抚养孩子的同时做兼职工作。,,,80691e36-cfc7-4a14-9ed3-873a42acce36
She runs an online business selling handmade crafts.,她经营一家销售手工制品的在线业务。,,,6e233ff3-2f02-4159-9af9-1af5640da95f
Running an online business requires good marketing skills.,经营在线业务需要良好的营销技巧。,,,de48bf95-9585-4a2f-86b0-0bf1cc43227c
She picked out a dress for the party.,她为聚会挑选了一件连衣裙。,,,7d39f7c7-43fa-456d-85e0-f8a39c989168
Can you pick out the best candidate from the list?,你能从列表中选出最佳候选人吗？,,,3ef69d60-15d9-42bd-bec1-0191faae42a8
"After the election results came in, he had to eat his words about the candidate's chances.",选举结果出来后，他不得不收回关于候选人胜算的言论。,,,ea0329b6-fdd2-48a8-9c4b-f15fae96a107
"She predicted the project would fail, but when it succeeded, she had to eat her words.",她预测项目会失败，但当它成功时，她不得不承认自己说错了。,,,92b76b8a-7d7d-41b6-9e6d-28fa7a4a73aa
The team had a disagreement on the best approach to solve the problem.,团队在解决问题的最佳方法上有分歧。,,,3a261228-32f6-404d-9d00-ac2802893640
They often have disagreements on political issues during family dinners.,他们在家庭晚餐时经常在政治问题上产生分歧。,,,a10c8e40-8aa9-4b28-b634-e9114a444580
"Now that he's the boss, he has the shoe on the other foot and understands the pressures his employees faced.",现在他是老板了，情况反转，他理解了员工们曾面临的压力。,,,fc52cbcc-c6d8-45d9-b511-e5446653f114
"After years of criticizing others, she had the shoe on the other foot when her own work was reviewed harshly.",多年来批评别人后，当她的作品受到严厉评价时，她体验到了角色互换。,,,ec8aad07-6697-4b0c-8cec-adb2bc023a8f
"After 40 years of service, the old machine was finally put out to pasture.",服务了40年后，那台旧机器终于被退役了。,,,47d2dba4-6018-44a6-bedd-efa73a783634
The company decided to put the veteran employee out to pasture with a generous retirement package.,公司决定让那位资深员工退休，并提供丰厚的退休金。,,,e836fc26-1bb5-4e8a-a23d-53f1bc7cfb5e
He had to rush through his homework to make it to the party on time.,他不得不匆忙完成作业以准时参加派对。,,,2c8f0cc0-9ad3-4fb3-86c1-a26a53f4b551
The bill was rushed through parliament without proper debate.,该法案在没有适当辩论的情况下被快速通过议会。,,,aa00ba6e-0361-46ae-a638-f0bf1e5e5b1a
The remote village is isolated from the rest of the country by mountains.,这个偏远村庄因山脉而与国家的其他部分隔离。,,,18a5d4cb-12d5-4bbb-a38b-665e8df5a97c
"During the pandemic, many people felt isolated from their friends and family.",疫情期间，许多人感到与朋友和家人隔离。,,,7e5246b3-0f5e-4c52-8417-2ff990192c79
I decided to switch to a healthier diet to improve my energy levels.,我决定切换到更健康的饮食以提高精力水平。,,,e406f241-960c-445c-8589-a9be33d37d7d
The company plans to switch to renewable energy sources next year.,公司计划明年转换到可再生能源。,,,b2caa331-a4cd-4513-a111-96b3bad4bdb7
He invited the stray dog to come in out of the rain and gave it some food.,他邀请那只流浪狗进来避雨，并给了它一些食物。,,,9730460d-af9e-49e0-8044-99b59a9ff30b
"After losing his job, he was grateful to come in out of the rain with a new opportunity.",失业后，他很感激能有一个新机会来改善处境。,,,68dfefb2-4261-4c11-8aa8-59fe7ebb0afc
The sudden change in weather brought on a headache for many people.,天气的突然变化引起了许多人的头痛。,,,6a9f6451-17f9-437a-9458-6a74acca15ae
Stress at work can bring on health problems if not managed properly.,如果处理不当，工作压力可能导致健康问题。,,,d49d30d6-90c7-4f11-a077-2f324a4cab39
She lays by a portion of her salary every month for emergencies.,她每月存一部分工资以备不时之需。,,,5308968b-caa1-4e20-b0b4-b2ef762b0930
Farmers often lay by grain during harvest season for winter.,农民常在收获季节储存谷物以备过冬。,,,a0d18bbf-4673-41db-ae1e-af4658901f51
The company was confronted with a sudden financial crisis.,公司突然面临财务危机。,,,12ef6457-9216-4ad6-9ff4-56974f8d36af
She was confronted with a difficult decision about her career.,她面临着一个关于职业生涯的艰难决定。,,,8bcaeb7e-c24f-4389-a44e-6012f620ac04
"As soon as he entered the party, he made a beeline for the food table.",他一进入派对，就径直走向食物桌。,,,9abfa750-ecac-40e2-831e-32e964460dd9
She made a beeline for the exit when the meeting ended.,会议结束时，她直奔出口。,,,11404935-da55-4825-a807-316e6f770702
Please put down the book when you're finished reading.,请读完书后把它放下。,,,1faecdf9-e5a2-4016-8055-e859ac88edf5
He put down his keys on the kitchen counter.,他把钥匙搁置在厨房台面上。,,,ee364099-8f64-4fda-8ad0-37900d2e4dd1
The argument escalated and they started to get physical.,争论升级，他们开始动手了。,,,768fc09f-61c0-4c6d-a441-9bffb1667627
"In sports, players sometimes get physical during intense moments.",在体育中，球员有时在紧张时刻会变得身体接触。,,,6b24fd39-8842-4bba-8bbd-fa96e4c7eda6
They sold the house at a profit after renovating it.,他们翻新后以盈利的方式卖掉了房子。,,,c4afdb63-b132-4ce4-8510-2aefbb843b94
The investment yielded returns at a profit within a year.,这项投资在一年内以盈利的方式产生了回报。,,,794b03e8-eb5c-4ef7-81b1-cb9c01cadab8
"After hearing the bad news, she went to pieces and couldn't stop crying.",听到坏消息后，她情绪崩溃，无法停止哭泣。,,,3436eca7-a09c-465c-b845-c99cb98208e3
"He went to pieces during the stressful exam, forgetting everything he studied.",在压力大的考试中，他崩溃了，忘记了所有学过的内容。,,,7f135365-d454-4eb0-9423-4cd537ba53fb
Fresh fruits are in ample supply at the market during summer.,夏季市场上新鲜水果供应充足。,,,f8cc35c8-6559-40cb-ba7e-00081b795066
The company has resources in ample supply to handle the new project.,公司有充足的资源来处理新项目。,,,8554d7a7-98af-43be-b46c-bd866f6d1547
This ancient artifact has been in existence for over a thousand years.,这件古代文物已经存在了一千多年。,,,6b996ea4-8568-4ee7-8282-a16b9ff6bb86
"The company has been in existence since 1995, serving customers worldwide.",这家公司自1995年成立以来，一直为全球客户服务。,,,e8246ecc-5011-4a99-96cb-fa7ec2d3e4d5
Many people prefer steady jobs with benefits over freelance work.,许多人更喜欢有福利的稳定工作，而不是自由职业。,,,a5c3f5be-3e2c-427f-b607-44f6d9d27464
He found steady jobs in the government sector after graduation.,毕业后，他在政府部门找到了稳定的工作。,,,a195cce5-ba88-4e19-a364-9bf366573892
She pulled off a stunning performance in the competition.,她在比赛中成功完成了一场惊艳的表演。,,,fc86f17d-daa6-4169-999b-fe3c8c5cd242
They pulled off the deal despite many obstacles.,尽管有许多障碍，他们还是成功完成了这笔交易。,,,e8503fb3-4c1d-469c-828c-c94555b696a7
Children love to play with toys in the park.,孩子们喜欢在公园里玩玩具。,,,5aec1c11-25d4-46bb-b47c-6f9e25501717
He often plays with his phone during meetings.,他经常在会议期间摆弄手机。,,,43185a32-f6dd-4e50-bffc-729436c7a01c
"During the lockdown, she confined herself to doing home workouts.",封锁期间，她限制自己只做家庭锻炼。,,,f8bbb14c-fd99-4b20-936e-da9c96cc3565
He confines himself to doing research and avoids administrative tasks.,他限制自己只做研究，避免行政任务。,,,adeb2d9c-b5d1-46ca-82b2-ccd743375361
He put his point across clearly during the debate.,他在辩论中清晰地表达了自己的观点。,,,a0421848-6b4e-492c-bd94-2ddfb2ebeb8d
It's important to put across the message effectively in advertising.,在广告中有效地传达信息很重要。,,,5e3fa5d3-9dd1-4002-bb21-48a9b7cd6dc4
She keeps her emotions in check during stressful situations.,在压力大的情况下，她控制自己的情绪。,,,82ad3ab8-f098-4e57-8e32-2f396ef15ef9
The government tries to keep inflation in check with policies.,政府试图通过政策控制通货膨胀。,,,dfa87c0e-154c-49ea-94a0-69c612caa467
Many families face economic hardships during recessions.,许多家庭在经济衰退期间面临经济困难。,,,2ab7c977-4833-4124-bc6e-b825c6c3b65b
